time,Device,Device01,Device02,Device03,Device04,Device05,Device06,Device07,Device08,Device09,Device10,Device11,Device12,Device13,Device14,Device15,Device16,Device17,Device18,Device19,Device20
1.70785,3.9771916e-12,20.179636,20.081381,20.042926,20.030847,20.028683,20.027872,20.773755,20.184834,20.069525,20.03973,20.030135,20.027798,21.089906,20.228319,20.077338,20.044676,20.030668,20.027837,20.0269,20.02676
1.7296667,4.2299232e-12,20.185022,20.083344,20.043493,20.030939,20.028664,20.027823,20.795017,20.190201,20.071104,20.040187,20.030196,20.027753,21.118997,20.234953,20.079016,20.045236,20.030724,20.027785,20.026812,20.026664
1.7514835,4.5491933e-12,20.191821,20.086659,20.045402,20.032369,20.029983,20.029112,20.819182,20.196983,20.074032,20.041985,20.031594,20.029046,21.154793,20.243059,20.082045,20.047138,20.032118,20.029071,20.028062,20.027906
1.7754819,4.8777776e-12,20.199894,20.089886,20.046699,20.033034,20.030541,20.029617,20.851246,20.205162,20.076725,20.043135,20.032221,20.029535,21.197453,20.253001,20.084935,20.048442,20.03273,20.029541,20.028487,20.028321
1.8018801,5.2753892e-12,20.209526,20.094155,20.048838,20.034477,20.031865,20.030883,20.88808,20.214911,20.080405,20.045112,20.033622,20.030784,21.248134,20.264727,20.088832,20.05059,20.034114,20.03077,20.029666,20.029489
1.8309182,5.7393e-12,20.21991,20.098651,20.050992,20.035865,20.033122,20.032077,20.927998,20.225426,20.084253,20.047088,20.034963,20.031958,21.302328,20.277403,20.092917,20.052753,20.035438,20.031923,20.030763,20.030575
1.8628601,6.2231711e-12,20.230008,20.102786,20.052771,20.036891,20.034035,20.032919,20.968246,20.23575,20.087711,20.048678,20.035938,20.032772,21.35614,20.289889,20.096607,20.054518,20.036383,20.032705,20.031493,20.031293
1.894802,6.7634845e-12,20.240717,20.107507,20.055129,20.038494,20.035525,20.034339,21.009669,20.246686,20.091752,20.050846,20.03749,20.034163,21.412572,20.303015,20.100881,20.056863,20.037906,20.034064,20.0328,20.032589
1.9299381,7.3549685e-12,20.252051,20.112282,20.057308,20.039844,20.036751,20.035488,21.05405,20.258272,20.095779,20.052817,20.038784,20.03528,21.47172,20.31697,20.105163,20.059027,20.039168,20.035146,20.033825,20.0336
1.9650742,8.0178115e-12,20.263888,20.117571,20.06001,20.041717,20.038498,20.037158,21.100005,20.270442,20.100337,20.055313,20.0406,20.036917,21.534723,20.331461,20.109961,20.061712,20.040949,20.036748,20.035368,20.035131
1.9926488,8.4771713e-12,20.272278,20.120882,20.061303,20.04236,20.039043,20.037642,21.133682,20.279096,20.103078,20.056443,20.041198,20.037376,21.578155,20.34187,20.11289,20.06299,20.041522,20.037179,20.035754,20.035507
2.0202234,9.0883288e-12,20.282074,20.125515,20.063897,20.044302,20.040886,20.039424,21.170746,20.289154,20.107132,20.058874,20.043094,20.039133,21.630127,20.353765,20.117133,20.065571,20.043392,20.038908,20.037437,20.03718
2.0477981,9.6591895e-12,20.291105,20.12943,20.065779,20.045533,20.042019,20.040497,21.206062,20.298356,20.110432,20.060587,20.044279,20.040179,21.677338,20.364811,20.120647,20.067437,20.044551,20.039925,20.038408,20.038141
2.0694698,1.0149399e-11,20.29841,20.132701,20.067451,20.046692,20.043101,20.041531,21.23449,20.305795,20.113219,20.062125,20.045402,20.041192,21.716717,20.373713,20.123602,20.069095,20.045653,20.040915,20.039363,20.039088
2.0911415,1.0690856e-11,20.305883,20.136133,20.069278,20.048006,20.044338,20.042721,21.263051,20.313402,20.116164,20.06382,20.04668,20.042361,21.756003,20.382793,20.126716,20.07091,20.04691,20.042062,20.040474,20.040191
2.1149804,1.1257665e-11,20.313795,20.139536,20.070906,20.04907,20.045317,20.043648,21.296429,20.321615,20.119023,20.065297,20.047703,20.043263,21.800257,20.392513,20.129767,20.072523,20.04791,20.042939,20.041311,20.041019
2.1412033,1.1962206e-11,20.322844,20.143606,20.073018,20.05056,20.046713,20.044986,21.333985,20.330994,20.122491,20.067243,20.049148,20.044575,21.851253,20.403572,20.133449,20.074619,20.04933,20.044223,20.042552,20.042251
2.1700483,1.2698293e-11,20.332054,20.1474,20.07467,20.051529,20.04758,20.04579,21.373221,20.34057,20.125627,20.068713,20.050068,20.045349,21.902287,20.414931,20.136818,20.076253,20.050222,20.044967,20.043248,20.042936
2.1988934,1.3589346e-11,20.340041,20.151366,20.076956,20.053239,20.049188,20.047344,21.403613,20.348814,20.129082,20.070852,20.051734,20.046884,21.945622,20.424391,20.140347,20.078474,20.051853,20.046472,20.04471,20.044387
2.230623,1.4463493e-11,20.347459,20.154476,20.078241,20.053894,20.049731,20.047829,21.43326,20.356514,20.131638,20.071976,20.052342,20.047347,21.984065,20.433327,20.142981,20.079686,20.05242,20.046902,20.045093,20.044759
2.2623526,1.5618336e-11,20.356408,20.159004,20.08092,20.055938,20.051663,20.049701,21.467053,20.36575,20.135603,20.074492,20.054339,20.049198,22.033148,20.4439,20.147027,20.082293,20.054377,20.04872,20.046863,20.046519
2.2940822,1.6732147e-11,20.364797,20.162795,20.082853,20.057248,20.052856,20.050835,21.50088,20.374391,20.138808,20.076263,20.0556,20.050313,22.079529,20.453949,20.150294,20.084124,20.055583,20.049794,20.047893,20.047538
2.3223764,1.7840067e-11,20.372596,20.166474,20.08487,20.058707,20.054212,20.052137,21.532042,20.382416,20.141961,20.078135,20.057017,20.051598,22.124047,20.463249,20.153503,20.08605,20.05695,20.051043,20.049103,20.048738
